牛皇叔（东方康宁店）,综合自助,42045920,329674355767016353789454960452192878330_a42045920_c6_e6101894099840258136
樱之谷日式烤肉,日式烧烤/烤肉,195153771,112878875198594555302030475904819747906_a195153771_c7_e6101894099840258136_v4892351099349170592__462
鸡元素鸡煲猪肚鸡,猪肚鸡火锅,164584082,329674355767016353789454960452192878330_a164584082_c8_e6101894099840258136
华莱士·全鸡汉堡（上义店）,汉堡,169025896,329674355767016353789454960452192878330_a169025896_c9_e6101894099840258136
贝多分卜卜贝,特色火锅,162775028,329674355767016353789454960452192878330_a162775028_c10_e6101894099840258136
大食八（榕城店）,饺子,178763150,329674355767016353789454960452192878330_a178763150_c11_e6101894099840258136
愿者上钩（揭阳东山店）,烤鱼,1193271759,112878875198594555302030475904819747906_a1193271759_c12_e6101894099840258136_v4892351099349170592__355
老地方鲜鱼馆（榕城店）,酸菜鱼/水煮鱼,41974222,329674355767016353789454960452192878330_a41974222_c13_e6101894099840258136
哇烤韩式自助烤肉（江南新城店）,烤肉自助,40295948,329674355767016353789454960452192878330_a40295948_c14_e6101894099840258136
华莱士·全鸡汉堡（仙桥店）,汉堡,170568933,329674355767016353789454960452192878330_a170568933_c0_e983836746653822107
沃士加（仙桥店）,西餐,41011064,329674355767016353789454960452192878330_a41011064_c1_e983836746653822107
Annie和她的小伙伴,西餐,98196214,112878875198594555302030475904819747906_a98196214_c2_e983836746653822107_v4892351809981720190__46
忠诚饼包屋（仙桥店）,糕点店,41110412,329674355767016353789454960452192878330_a41110412_c3_e983836746653822107
特种冰（仙桥店）,奶茶/果汁,67563553,329674355767016353789454960452192878330_a67563553_c4_e983836746653822107
洪信美粿面馆,面条,193036785,329674355767016353789454960452192878330_a193036785_c5_e983836746653822107
牛皇叔（东方康宁店）,综合自助,42045920,329674355767016353789454960452192878330_a42045920_c6_e983836746653822107
樱之谷日式烤肉,日式烧烤/烤肉,195153771,112878875198594555302030475904819747906_a195153771_c7_e983836746653822107_v4892351809981720190__462
龙弟火锅,火锅,154034195,329674355767016353789454960452192878330_a154034195_c8_e983836746653822107
华莱士·全鸡汉堡（上义店）,汉堡,169025896,329674355767016353789454960452192878330_a169025896_c9_e983836746653822107
贝多分卜卜贝,特色火锅,162775028,329674355767016353789454960452192878330_a162775028_c10_e983836746653822107
大食八（榕城店）,饺子,178763150,329674355767016353789454960452192878330_a178763150_c11_e983836746653822107
愿者上钩（揭阳东山店）,烤鱼,1193271759,112878875198594555302030475904819747906_a1193271759_c12_e983836746653822107_v4892351809981720190__355
老地方鲜鱼馆（榕城店）,酸菜鱼/水煮鱼,41974222,329674355767016353789454960452192878330_a41974222_c13_e983836746653822107
哇烤韩式自助烤肉（江南新城店）,烤肉自助,40295948,329674355767016353789454960452192878330_a40295948_c14_e983836746653822107
青沫茶颜猫主题（仁港路店）,奶茶/果汁,177913930,329674355767016353789454960452192878330_a177913930_c0_e5483019414415534265_nareaid12390
春日茶语,奶茶/果汁,187880037,329674355767016353789454960452192878330_a187880037_c1_e5483019414415534265_nareaid12390
卡乐巴巴,奶茶/果汁,194420324,329674355767016353789454960452192878330_a194420324_c2_e5483019414415534265_nareaid12390
最潮味,潮州菜,159400373,329674355767016353789454960452192878330_a159400373_c3_e5483019414415534265_nareaid12390
小茶堂,奶茶/果汁,194647211,329674355767016353789454960452192878330_a194647211_c4_e5483019414415534265_nareaid12390
时光工坊咖啡馆（仁港店）,咖啡厅,99353661,329674355767016353789454960452192878330_a99353661_c5_e5483019414415534265_nareaid12390
GOTEA拾芳趣茶（仁港店）,奶茶/果汁,192727272,329674355767016353789454960452192878330_a192727272_c6_e5483019414415534265_nareaid12390
舞茶道（仁港店）,奶茶/果汁,164570000,329674355767016353789454960452192878330_a164570000_c7_e5483019414415534265_nareaid12390
杨国福麻辣烫（仁港店）,麻辣烫,90768105,329674355767016353789454960452192878330_a90768105_c8_e5483019414415534265_nareaid12390
茶王BOSSTEA（仁港店）,奶茶/果汁,193046156,329674355767016353789454960452192878330_a193046156_c9_e5483019414415534265_nareaid12390
惯茶（仁港店）,奶茶/果汁,194420518,329674355767016353789454960452192878330_a194420518_c10_e5483019414415534265_nareaid12390
熊探茶社,奶茶/果汁,188403916,329674355767016353789454960452192878330_a188403916_c11_e5483019414415534265_nareaid12390
鹿角巷The Alley（东山总店）,饮品店,177508923,329674355767016353789454960452192878330_a177508923_c12_e5483019414415534265_nareaid12390
华莱士·全鸡汉堡（仙桥店）,汉堡,170568933,329674355767016353789454960452192878330_a170568933_c0_e4122601436882663831
